geometry,L_threshold,U_threshold,L2_UMean,mean_cells
circular_Re200,1.0,2.0,0.0285,60484
circular_Re200,1.0,3.0,0.0295,60839
circular_Re200,1.2,2.0,0.0274,59223
circular_Re200,1.2,3.0,0.0287,59529
circular_Re200,1.4,2.0,0.0266,58600
circular_Re200,1.4,3.0,0.0281,58625
circular_Re200,1.4,4.0,0.0287,59284
square_Re150,1.0,2.0,0.0296,60155
square_Re150,1.0,3.0,0.0291,60462
square_Re150,1.2,2.0,0.0287,59521
square_Re150,1.2,3.0,0.0281,59905
square_Re150,1.4,2.0,0.0275,58900
square_Re150,1.4,3.0,0.0271,59310
diamond_Re150,1.0,2.0,0.1484,62156
diamond_Re150,1.0,3.0,0.1499,62760
diamond_Re150,1.2,2.0,0.1498,59957
diamond_Re150,1.2,3.0,0.1518,60121
diamond_Re150,1.4,2.0,0.1447,58885
diamond_Re150,1.4,3.0,0.1478,59250
